Chr,Gene,nSNPs,Start,Stop,Test-Stat,Pvalue,Error,Best-SNP,SNP-pvalue
1,A3GALT2,89,33772366.0,33786699.0,137.053070190129,0.185234860256449,4.5690342447990505e-14,rs4653044,0.001152
1,AADACL3,132,12776117.0,12788726.0,32.0164565401616,0.970413453840517,1.8393052697289702e-14,rs3010873,0.265099999999999
1,AADACL4,110,12704565.0,12727097.0,84.5496604831291,0.588825367141612,6.34550310337832e-15,rs6699993,0.006778
1,ABCA4,342,94458393.0,94586705.0,370.418540204516,0.341535951504104,5.7437965957875204e-15,rs3120133,0.02547
1,ABCB10,86,229652328.0,229694442.0,142.749984927648,0.153779781485049,3.4501168562530504e-14,rs10916485,0.0364400000000002
1,ABCD3,99,94883932.0,94984219.0,176.177326445841,0.103528132805002,2.80267165655036e-14,rs724829,0.01346
1,ABHD7,85,92495557.0,92529093.0,64.2066816573658,0.557206906032524,7.8596591096995e-15,rs17131594,0.06843
1,ABL2,180,179068461.0,179198767.0,260.408964059788,0.181845685924603,2.5881566025802802e-14,rs2296377,0.01162
1,ACADM,140,76190042.0,76229355.0,22.4576285454082,0.984156973160072,1.92777878832077e-14,rs6702012,0.0508300000000002
1,ACBD3,79,226332379.0,226374423.0,91.007120668934,0.299189380145928,1.38337019375962e-14,rs11579988,0.002176
1,ACBD6,285,180257364.0,180471479.0,187.517549995169,0.646832815392561,6.779706606179141e-15,rs1575710,0.02402
1,ACOT11,196,55013900.0,55100417.0,265.448557023725,0.163692855401807,1.2875304058562701e-14,rs12752888,0.000839
1,ACOT7,122,6324331.0,6453826.0,85.2765794737707,0.624205883975109,8.83536049595283e-15,rs3789506,0.0499600000000002
1,ACP6,102,147119167.0,147142634.0,454.54595920586,0.0014710036901166,1.0388525120703e-13,rs3820126,0.001409
1,ACTA1,52,229566992.0,229569843.0,113.115553571117,0.0657203572111939,4.3488284053253e-14,rs3767326,0.02999
1,ACTL8,167,18081843.0,18153558.0,89.128556170181,0.882895895022782,1.39860125049074e-14,rs16830757,0.112099999999999
1,ACTN2,241,236849769.0,236927558.0,572.794147655499,0.0188162012228322,2.10802061274313e-14,rs1556872,0.0001768999999999
1,ACTRT2,80,2938045.0,2939467.0,63.9960538744311,0.413683093987931,1.42313409868549e-14,rs6681331,0.01404
1,ADAM15,63,155023761.0,155035252.0,64.8279642495298,0.367277821179146,8.216740220005421e-15,rs6682611,0.0833100000000004
1,ADAM30,76,120436155.0,120439113.0,25.7626146421519,0.886166709315664,2.53820424197795e-14,rs12117337,0.0698499999999997
1,ADAMTS4,75,161159537.0,161168845.0,111.305212891045,0.156793414538195,2.22125543593252e-14,rs4233367,0.01279
1,ADAMTSL4,49,150521897.0,150533412.0,44.5113824619994,0.451776459549956,5.43482446552598e-15,rs1355637,0.0561999999999999
1,ADAR,91,154554533.0,154600437.0,281.30329560072,0.0168619996034981,9.041400832430461e-14,rs2072660,0.004275
1,ADC,61,33546713.0,33585995.0,15.6286294218518,0.88384141174875,1.8255336138210702e-14,rs4045854,0.0595100000000001
1,ADIPOR1,102,202909960.0,202927700.0,229.213443797448,0.0332416034939323,4.2235339053563603e-14,rs1042990,0.002436
1,ADORA1,199,203096835.0,203136533.0,234.52230016859,0.274736577731733,8.588095210797931e-15,rs12139072,0.01317
1,ADORA3,194,112025969.0,112106597.0,219.368520672532,0.300718410600901,7.385622700430511e-15,rs3767602,0.0002679
1,ADPRHL2,35,36554485.0,36559533.0,61.957072174747,0.140520252924377,5.92211745428553e-14,rs7542594,0.04882
1,ADSS,140,244571795.0,244615413.0,148.239192424048,0.366958020355215,6.7352620678938204e-15,rs3006017,0.01643
1,AFAR3,88,19592475.0,19600435.0,50.5841179596603,0.802223116059191,1.46688666200266e-14,rs2273046,0.0365500000000001
1,AGBL4,976,48998526.0,50489626.0,572.48116568576,0.845260598390415,1.20520638338291e-14,rs1113487,0.0525899999999999
1,AGL,187,100315639.0,100389579.0,133.673589764819,0.615284843353438,6.933408995508511e-15,rs11166364,0.0254299999999998
1,AGMAT,72,15899151.0,15911605.0,72.3382155541003,0.365903483571985,4.83301559420783e-14,rs6695141,0.1057
1,AGRN,42,955502.0,991492.0,46.3181008110489,0.329788552586428,1.2591657901343e-14,rs13303118,0.02245
1,AGT,243,230838268.0,230850336.0,257.985420835212,0.358935451065102,5.5554243950317e-15,rs16852535,0.0044199999999999
1,AGTRAP,102,11796141.0,11810828.0,188.833680147674,0.0647057565804494,3.3055336218360997e-14,rs17375901,0.004645
1,AHCTF1,125,247002401.0,247081679.0,106.416554197501,0.49008647787117,4.63738718219607e-15,rs10924850,0.001267
1,AHCYL1,69,110527307.0,110566364.0,43.9599179819559,0.703339505242938,1.03755526311526e-14,rs6537651,0.194900000000001
1,AHDC1,44,27860755.0,27930143.0,99.8926135581344,0.0405738818222221,4.0480342151420604e-14,rs9438529,0.01332
1,AIDA,64,222841354.0,222885864.0,84.2336163981917,0.240138378714093,3.51864769742975e-14,rs9441936,0.0400599999999998
1,AIM1L,148,26648349.0,26670443.0,148.102765500929,0.394160666117985,6.5813226193230506e-15,rs10751735,0.0077959999999999
1,AIM2,86,159032274.0,159046647.0,210.814472594189,0.063133789662049,7.23293729922509e-14,rs2814770,0.007229
1,AJAP1,390,4715104.0,4843851.0,281.712319666836,0.837994613988366,1.13282254242862e-14,rs4654593,0.0095759999999999
1,AK2,56,33473585.0,33502492.0,15.0454644471125,0.882004235960774,2.27512212199859e-14,rs17511157,0.201
1,AK3L1,146,65613231.0,65693175.0,173.647194507725,0.278398254387401,1.10897087728472e-14,rs11208616,0.01486
1,AK5,451,77747741.0,78025654.0,582.419164999689,0.188300902420465,1.1504711614256301e-14,rs17100758,0.003981
1,AKIRIN1,69,39456916.0,39470979.0,105.586760182048,0.168748757628592,3.56805271323636e-14,rs7532807,0.0574000000000003
1,AKR1A1,63,46016497.0,46035721.0,280.181337518905,0.0048221678363029,3.3146758672945e-13,rs12049503,0.0001631999999999
1,AKR7A2,111,19630461.0,19638640.0,70.8448372166313,0.749979426601762,1.0936219924785201e-14,rs873362,0.0473599999999999
1,AKR7A3,90,19609056.0,19615280.0,45.5352689925407,0.870740424011648,1.59991140397695e-14,rs2273046,0.0365500000000001
1,AKT3,232,243651534.0,244006553.0,153.92741778132,0.603052527194535,8.11616433222615e-15,rs12145933,0.0657300000000001
1,ALDH4A1,105,19197925.0,19229072.0,187.637260834651,0.0352408115413672,2.59801477826987e-14,rs4073538,0.002066
1,ALDH9A1,197,165631448.0,165667900.0,268.817681760067,0.1764245806215,1.29164484764728e-14,rs11587760,0.001589
1,ALG14,162,95448296.0,95538483.0,70.5410329593045,0.857922109152793,1.55916711325151e-14,rs12137024,0.0875999999999997
1,ALG6,112,63833297.0,63902878.0,42.887575228859,0.90074922130166,1.6936691001806802e-14,rs2024613,0.03093
1,ALPL,185,21835857.0,21904905.0,198.36048911547,0.35349572262333,5.4155574503857006e-15,rs829406,0.0009552999999999
1,ALX3,74,110602996.0,110613322.0,63.5224719934216,0.47354975992101,6.23442276359991e-15,rs705283,0.109200000000001
1,AMIGO1,80,110049445.0,110052336.0,38.310137552524,0.756543783822236,1.58111951104252e-14,rs577953,0.2077
1,AMPD1,75,115215721.0,115238176.0,82.8166367055127,0.334878798198769,1.41179062496617e-14,rs1484835,0.002628
1,AMPD2,81,110162458.0,110174677.0,39.7615863752711,0.836740287635767,1.5084898110056202e-14,rs524998,0.103899999999999
1,AMY1A-1,4,104198140.0,104207173.0,6.6812627584693,0.159193376245011,7.88160335050669e-08,rs1150075,0.0669199999999997
1,AMY1A-3,19,104292278.0,104301311.0,65.4798571904438,0.0277810764893015,7.14130837898511e-12,rs9628996,0.02297
1,AMY1B-1,4,104198324.0,104207172.0,6.6812627584693,0.159193376245011,7.88160335050669e-08,rs1150075,0.0669199999999997
1,AMY1B-3,19,104292462.0,104301310.0,65.4798571904438,0.0277810764893015,7.14130837898511e-12,rs9628996,0.02297
1,AMY1C-1,4,104198302.0,104207172.0,6.6812627584693,0.159193376245011,7.88160335050669e-08,rs1150075,0.0669199999999997
1,AMY1C-3,19,104292440.0,104301310.0,65.4798571904438,0.0277810764893015,7.14130837898511e-12,rs9628996,0.02297
1,AMY2A,14,104159998.0,104168400.0,20.8339672317339,0.181175775805965,5.49879912722121e-14,rs11184556,0.009868
1,AMY2B,22,104097321.0,104122149.0,40.0289261500763,0.0991195732925715,5.53456860469577e-14,rs11184556,0.009868
1,ANGEL2,58,213165523.0,213189168.0,64.8414309143161,0.324209800630537,1.2506827520892601e-14,rs11586518,0.0223999999999999
1,ANGPTL1,65,178818669.0,178840215.0,70.4206351326293,0.331732055338066,1.66355040258479e-14,rs12747722,0.009055
1,ANGPTL3,48,63063186.0,63071180.0,117.083027012848,0.0989371402558458,7.937605878723e-12,rs17123728,0.0721300000000001
1,ANGPTL7,70,11249397.0,11256038.0,315.755692802139,0.0096570524729807,5.720413372421e-08,rs10864490,0.003187
1,ANKRD13C,89,70724684.0,70820417.0,50.0500778257126,0.712231749243915,1.3883006575471801e-14,rs12749994,0.0717599999999998
1,ANKRD34A,26,145470507.0,145475647.0,65.2956842382278,0.0479839179039083,1.46915955615292e-13,rs704985,0.01777
1,ANKRD35,50,145549208.0,145568526.0,133.922867040543,0.0263572719724491,8.756789624231871e-14,rs2274619,0.0077279999999999
1,ANKRD45,55,173577474.0,173639001.0,36.1982459436132,0.60492280333237,1.16196912104113e-14,rs11808435,0.0031499999999999
1,ANP32E,54,150190854.0,150208460.0,164.184379458289,0.0282517834622687,1.22882436667035e-13,rs2038752,0.009172
